【2020/09/06
59.合い鳴き/shr ③しるばー
60.Let Me Take You/banbox ①しゃい
61.一角獣/てにをは ②微熱
62.連想アクトレス～狩人と獣～/ひとしずく×やま△ ×すべから→★フォルテ
63.花降らし/n-buna ②しみら
64.よくばり/Ayase ②しゃい
65.20HZ-ニジュッヘルツ-/emon(Tes.) ③しみら
66.ねがい/てぃあら ③ホワイト
67.好きって言って/ちいたな ①yu-na*
68.レディーレ/バルーン ②Klayn
69.Party×Party/ひとしずくP・やま△ ①すべから

【2020/09/20
1.ファッションきる/れるりり ×きぐな→①とげ
2.2/ジミーサムP スルー
3.車窓の貴方へ/はるふり ×しるばー
4.虎視眈々/梅とら ①すべから
5.パズルガール/とあ ②とげ
6.アイカギ/けーだっしゅ ×とげ
6.ツンデ恋歌/れれれP ×きぐな→①フォルテ
7.愛言葉Ⅱ/DECO*27 ③とげ
8.めめめめめ/ちんたら ①ちみ
9.ゴールデンジャーニー/メル ①ろあ
10.ダチュラと林檎/ねじ式 ①ぐりーん
11.オルターエゴ/Misumi ②ろあ
12.ワンダーランド/higma ①STN
13.スコール/春野 ①fuji#
14.ケッペキショウ/すこっぷ ②すべから
15.メーデー/Aqu3ra ×ろあ→①ホワイト
16.ロゼッタ/monaca:factory ①きぐな
17.くたばれPTA/梨本うい ②きぐな
18.各駅停車/末代雨季。 ③ろあ
19.愛欲のプリズナー/ひとしずく×やま△ ②すべから
20.テレキャスタービーボーイ/すりぃ ①てばこめめ
21.Close to you/niki ★ろあ
22.空想庭園依存症/暴走P ③きぐな
23.KSGR地獄の刑/ワンダフル☆オポチュニティ！ ②てばこめめ
24.I want you/Masakey スルー
25.少女は夜と鮮やかに/Matica ②ちみ
26.ベネ/SEVENTHLINKS ②ホワイト
27.メグメグ☆ファイヤーエンドレスナイト/samfree ★きぐな
28.カンデンさせちゃうぞ/カルロス袴田 ×STN→③ちみ
29.あなぐらぐらし/きくお ②fuji#
30.レコード・レド/shr ③てばこめめ
31.8月31日/DECO*27 ②ぐりーん
32.太陽と月のロンド/PolyphonicBranch ②フォルテ
33.ラストメッセージ/MarvinValentin ×STN→★とげ
34.だいよげん/みきとP ①しるばー
35.ぷっすんきゅう/粗品 ①しゃい
36.円尾坂の仕立屋/悪ノP ★すべから
37.嘘つき造花/kous ③フォルテ
38.白ゆき/n-buna ③ぐりーん
39.#誰かこの痛みに名前をつけてください/暴走P ①ぺとぉせり
40.えれくとりっく・えんじぇぅ/ヤスオ ★ぐりーん
41.モスクワを擁して/ふる ②しるばー
42.1/100のアイ/すりぃ ③ホワイト
43.夏の半券/みきとP ×ちみ→×まつせ
44.こんな夢を見た。/HaTa ×劇中歌→×くらうん
45.ハイスペックニート/40mP ×ちみ→×まつせ
46.君が夜の海に還るまで/こんにちは谷田さん ★ホワイト
47.東京ディスコミュニケーション/Virgin Noize スルー
48.Fake Lover/ジミーサムP ★フォルテ
49.Re-rise/Yoshihi ×まつせ
50.妄想メランコリー/すこっぷ ×しるばー
51.さよなら両片想/HoneyWorks ①くらうん
52.ステイルメイト/Re;nG ×劇中歌→①まつせ
53.ルーゲルダ/KulfiQ ×STN
54.白い雪のプリンセスは/のぼる↑ ★てばこめめ
55.心臓デモクラシー/みきとP ②くらうん
56.茅蜩モラトリアム/TOTAL OBJECTION ②Abbey
57.芥の部屋は錆色に沈む/こんにちは谷田さん ×STN→③しるばー
58.レゾンデートルの花/40mP ★ちみ
59.dogdog/虻瀬 ②STN
60.可能世界のロンド/millstones ×Klayn→②まつせ
61.うちゅーの☆ふぁんたじー/ふわりP ×STN
62.なりすましゲンガー/KulfiQ ②しゃい
63.自己愛性カワイズム/Mitchie M ③STN
64.恥ずかs×××/ラマーズP ×まつせ
65.しりたくない/SEDO ①はげお
66.夜撫でるメノウ/Ayase ×fuji#→②HAGE
67.夏掛けの群青/ちいたな ×STN→③まつせ
68.Fading Ghost/蜂屋ななし ①しみら
69.アゴニー/ケダルイ ★STN
70.ルサンチマンクラブ/しーくん ②しみら

【2020/09/27
01. トオリヨ/テヅカ　×STN→①しるばー
02. 僕が夢を捨てて大人になるまで/傘村トータ　①すべから
03. キラークイーン/Ayase　①ちみ
04. 紡唄 -つむぎうた-/DATEKEN　①フォルテ
05. chocolate box/一億円P ①手羽先
06. 夏蜘蛛/流星P　②しるばー
07. パズル/クワガタP　①あざばて
08. 昏迷の味/さばすち　①ホワイト
09. グリム/しじま　①STN
10. Carry Me Off/八王子P・q*Left　×また切→×激中華→①きぐな
11. マイガール/tama　①とげ
