contentId	song	title	artist.0	artist.1	rank	viewCounter	commentCounter	mylistCounter	likeCounter	userId	tags.0	tags.1	tags.2	tags.3	tags.4	tags.5	tags.6	tags.7	tags.8	tags.9	tags.10	startTime	thumbnailUrl	lengthSeconds	sub_artist.0
sm38858307	Shooting Star	techicobal* - Shooting Star feat. 鏡音リン	techicobal*		非公開	19327	194	292		61251752	鏡音リン	#プロセカNEXT	VOCALOID	リンオリジナル曲	第5回プロセカNEXT応募楽曲	鏡音リンV4X	VOCALOID処女作	techicobal*	J-CORE	ニコニコDAILY_TOPICS	VOCALOEDM	2021-06-08T22:32:02+09:00		260	
sm28682643	last will	「last will」 Vo.初音ミク	doriko		非公開	72437	545	1550		655340	VOCALOID	初音ミク	ryosios	ボカロバラード	DAM配信中	ミクオリジナル曲	切ないミクうた	last_will	もっと評価されるべき	doriko(きりたんP)		2016-04-22T20:00:00+09:00		287	
sm31940830	葵ちゃんはチョコミントアイスエイヤッ↑(/＞_＜)/	葵ちゃんはチョコミントアイスエイヤッ↑(/＞_＜)/	ゆめうつうつ			238588	688	4694	890	50090448	音楽	チョコミントアイスエイヤッ↑(/>_<)/	VOICEROID+_琴葉_茜・葵	歌うボイスロイド	KotonoSync	琴葉葵	葵廃専用動画	チョコミン党	チョコミント曲リンク	VOICEROID殿堂入り	夢にみた緑	2017-09-17T12:45:10+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/31940830/31940830	61	
sm40871818	フィラウティア	フィラウティア/初音ミク(remastered)	ほいっぷ	無色透名祭公式		1979	22	24		96069691	VOCALOID	ミクオリジナル曲	無色透名祭	無色透名祭本人投稿リンク	初音ミク	フィラウティア	もっと評価されるべき					2022-08-04T20:51:02+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/40871818/40871818.90469595	189	
sm38038905	摩天楼ワンダー	摩天楼ワンダー/初音ミク	aBuku		削除済	85238	151	383		57105075	VOCALOID	VOCALOIDオリジナル曲	VOCALOID処女作	初音ミク	ミクオリジナル曲	初投稿	期待の新人	摩天楼ワンダー	ニコニコDAILY_TOPICS			2020-12-29T22:00:00+09:00		202	
sm43429700	無名のクオリア	無名のクオリア/GUMI.重音テト	マロ		削除済	24931	7736	595		16579530	ボカコレ2024冬ルーキー参加曲	歌踊コレok	ボカコレ2024年冬参加曲	GUMI(synthv)	重音テトSV	VOCALOID	SynthesizerV	SynthesizerVオリジナル曲				2024-02-22T19:00:00+09:00		256	
sm34831056	アイシテナイフ	アイシテナイフ / ゐろは苹果	ゐろは苹果		非公開	79853	385	515		84374835	VOCALOID	wyiroha	VOCALOIDオリジナル曲	ゐろは苹果	アイシテナイフ	GUMI	只野	音街ウナ	GUMI＆ウナリンク	もっと評価されるべき		2019-03-23T19:00:00+09:00		211	
sm4099653	恋のIT革命★	【KAITO希望】オリジナル曲「恋のIT革命★」【でも歌は初音】	アリアP			15015	49	154		3115394	音楽	初音ミク	２代目課題曲の人	VOCALOID夏曲	恋のIT革命★	KAITO	尻切れ/アリアP	joysound配信中	KAITO用課題曲	ミクオリジナル曲	VOCALOID	2008-07-27T21:43:06+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/4099653/4099653	171	ユズ
sm41781565	ふたりでひとつみまん	ふたりでひとつみまん/初音ミク feat.takkann	たっかんP			317	11	6		127994292	たっかんP	takkann	vocaloid	初音ミクオリジナル曲	初音ミク	ミクオリジナル曲	vocaloid処女作	既存楽曲復活祭2026参加	既存楽曲復活祭2020年～2025年部門			2023-02-11T20:05:03+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/41781565/41781565.58678119	233	
sm42577322	いえすかちゅうか	いえすかちゅうか / 可不 & 裏命	はかめ		削除済	6348	352	308		121151926	ボカコレネタ2023夏参加曲	VOCALOID	可不	CeVIO_AI	はかめ	モミアゲヲ	ﾐﾆﾏﾑｶｰﾀｰ	vocaloid中華曲	CeVIOオリジナル曲	裏命	CeVIOデュエット曲	2023-08-05T00:00:00+09:00		202	
